地区	正式指标	正式数值
北京	城市居民居住消费价格指数[S]	103.7
天津	城市居民居住消费价格指数[S]	104.5
上海	城市居民居住消费价格指数[S]	104.9
深圳	城市居民居住消费价格指数[S]	105.0
重庆	城市居民居住消费价格指数[S]	102.6
北京	城市居民消费环比价格指数[S]	100.4
天津	城市居民消费环比价格指数[S]	100.1
上海	城市居民消费环比价格指数[S]	100.2
深圳	城市居民消费环比价格指数[S]	99.6
重庆	城市居民消费环比价格指数[S]	99.6
北京	食品商品零售价格指数[S]	106.9
天津	食品商品零售价格指数[S]	108.1
上海	食品商品零售价格指数[S]	105.9
深圳	食品商品零售价格指数[S]	105.1
重庆	食品商品零售价格指数[S]	104.7
